"Discipline","Journal","Author position","Age","Standardised IF","n useable papers","n authors","Gender ratio of sample","Observed alpha","Lower 95 CI","Upper 95 CI","Alpha adjusted","Lower 95 CI","Upper 95 CI","Unadjusted p value","Adjusted p value"
"Diagnostic Imaging","J Magn Reson","First authors","Old",0.132,85,202,12.376,0.05,-0.05,0.153,0.054,-0.046,0.164,0.434,0.668
"Microbiology","J Microbiol Methods","First authors","Old",-0.183,85,293,39.932,0.08,-0.043,0.217,0.08,-0.046,0.209,0.233,0.497
"Orthopedics","J Orthop Res","First authors","Old",0.188,85,312,25,0.12,-0.007,0.241,0.125,0.005,0.255,0.057,0.244
"Medicine","Med Care","First authors","Old",0.184,85,304,38.158,0.115,-0.017,0.242,0.118,-0.021,0.252,0.085,0.286
"Medicine","Med Image Comput Comput Assist Interv","First authors","Old",0.199,85,268,14.925,0.044,-0.089,0.205,0.054,-0.076,0.201,0.625,0.805
"Parasitology","Mem Inst Oswaldo Cruz","First authors","Old",-0.096,85,285,47.719,-0.001,-0.148,0.155,-0.002,-0.15,0.143,0.988,0.994
"Ophthalmology","Acta Ophthalmol Scand","First authors","Old",NA,84,263,33.84,0.026,-0.111,0.167,0.026,-0.106,0.166,0.705,0.845
"Medicine","Am J Emerg Med","First authors","Old",-0.128,84,213,24.413,0.023,-0.145,0.208,0.024,-0.152,0.192,0.802,0.9
"Metabolism","Antioxid Redox Signal","First authors","Old",0.408,84,188,33.511,0.111,-0.054,0.264,0.109,-0.046,0.264,0.213,0.474
"Medicine","Arch Med Res","First authors","Old",0.041,84,306,40.523,0.088,-0.073,0.267,0.088,-0.082,0.254,0.303,0.563
"Primary Health Care","Br J Gen Pract","First authors","Old",0.227,84,223,39.013,0.161,0.011,0.32,0.166,0.003,0.322,0.037,0.193
"Neoplasms","Carcinogenesis","First authors","Old",0.183,84,429,37.995,-0.085,-0.201,0.036,-0.089,-0.205,0.028,0.194,0.453
"Dermatology","Contact Derm","First authors","Old",NA,84,241,44.813,0.129,-0.019,0.276,0.126,-0.024,0.274,0.068,0.261
"Medicine","Exp Biol Med (Maywood)","First authors","Old",NA,84,268,32.463,0.036,-0.11,0.171,0.038,-0.104,0.185,0.654,0.824
"Gastroenterology","Inflamm Bowel Dis","First authors","Old",0.189,84,364,31.593,0.061,-0.074,0.194,0.061,-0.071,0.192,0.361,0.616
"Environmental Health","J Environ Qual","First authors","Old",-0.054,84,200,28,0.018,-0.132,0.172,0.019,-0.128,0.179,0.814,0.904
"Psychology","J Exp Psychol Hum Percept Perform","First authors","Old",NA,84,148,23.649,0.041,-0.109,0.208,0.042,-0.114,0.208,0.619,0.802
"Parasitology","Mol Biochem Parasitol","First authors","Old",-0.033,84,310,37.419,0.027,-0.085,0.149,0.029,-0.086,0.145,0.675,0.831
"Parasitology","Parasitol Res","First authors","Old",-0.041,84,243,44.856,0.165,0.001,0.302,0.167,0.019,0.313,0.04,0.203
"Physiology","Am J Physiol Gastrointest Liver Physiol","First authors","Old",NA,83,364,37.912,0.196,0.051,0.364,0.199,0.049,0.341,0.005,0.06
"Chemistry","Chem Rev","First authors","Old",1.001,83,163,26.38,0.039,-0.132,0.224,0.045,-0.135,0.235,0.709,0.848
"Anesthesiology","Curr Opin Anaesthesiol","First authors","Old",NA,83,114,21.053,0.17,-0.039,0.362,0.167,-0.034,0.383,0.077,0.276
"Radiology","Eur J Radiol","First authors","Old",0.096,83,333,23.724,0.082,-0.053,0.237,0.083,-0.048,0.218,0.209,0.469
"Neurology","J Neurol Sci","First authors","Old",-0.097,83,338,32.84,-0.035,-0.179,0.091,-0.04,-0.173,0.09,0.618,0.802
"Neurology","J Neurosurg Spine","First authors","Old",NA,83,277,12.274,0.074,-0.119,0.353,0.087,-0.113,0.342,0.36,0.616
"Parasitology","J Parasitol","First authors","Old",-0.204,83,227,39.648,0.051,-0.105,0.195,0.052,-0.092,0.193,0.532,0.747
"Medicine","Pain Physician","First authors","Old",0.228,83,193,13.472,0.249,-0.084,0.521,0.257,-0.092,0.533,0.007,0.075
"Medicine","Psychosom Med","First authors","Old",0.256,83,304,36.184,0.134,-0.017,0.267,0.134,-0.011,0.281,0.057,0.244
"Multidisciplinary","Am Nat","First authors","Old",0.167,82,156,21.154,0.214,0.016,0.416,0.214,0.021,0.418,0.011,0.095
"Otolaryngology","Ann Otol Rhinol Laryngol","First authors","Old",-0.131,82,230,26.087,0.127,-0.029,0.288,0.129,-0.027,0.291,0.094,0.303
"Biotechnology","BioTechniques","First authors","Old",NA,82,213,26.761,0.069,-0.098,0.235,0.072,-0.084,0.228,0.394,0.64
"Neoplasms","Cancer Biol Ther","First authors","Old",-0.04,82,321,32.71,0.02,-0.106,0.136,0.02,-0.103,0.14,0.78,0.888
"Neurology","Epilepsy Behav","First authors","Old",-0.057,82,211,37.915,0.067,-0.095,0.22,0.071,-0.085,0.23,0.376,0.626
"Endocrinology","Horm Behav","First authors","Old",0.03,82,210,44.286,0.13,-0.027,0.303,0.128,-0.054,0.295,0.133,0.373
"Medical Informatics","IEEE Trans Pattern Anal Mach Intell","First authors","Old",0.396,82,121,11.57,-0.03,-0.14,0.093,-0.024,-0.136,0.109,0.719,0.856
"Medicine","J Clin Rheumatol","First authors","Old",NA,82,226,30.531,-0.041,-0.179,0.096,-0.035,-0.174,0.105,0.605,0.793
"Diagnostic Imaging","J Magn Reson Imaging","First authors","Old",0.183,82,349,17.479,0.047,-0.061,0.151,0.046,-0.07,0.148,0.336,0.593
"Traumatology","J Trauma Stress","First authors","Old",NA,82,231,49.351,0.092,-0.068,0.239,0.095,-0.049,0.246,0.275,0.528
"Neurology","Muscle Nerve","First authors","Old",0.009,82,252,31.349,-0.031,-0.161,0.106,-0.033,-0.162,0.106,0.668,0.828
"Psychology","Pers Soc Psychol Bull","First authors","Old",NA,82,146,43.836,0.108,-0.084,0.306,0.116,-0.066,0.307,0.231,0.494
"Physiology","Pflugers Arch","First authors","Old",0.167,82,251,26.295,0.083,-0.076,0.246,0.08,-0.074,0.232,0.273,0.528
"Medicine","Reprod Biomed Online","First authors","Old",0.142,82,237,34.599,0.099,-0.085,0.29,0.097,-0.089,0.286,0.244,0.503
"General Surgery","Surg Neurol","First authors","Old",NA,82,273,14.286,0.088,-0.064,0.232,0.094,-0.05,0.246,0.303,0.563
"Pharmacology","Biol Pharm Bull","First authors","Old",-0.245,81,254,30.709,-0.057,-0.183,0.065,-0.047,-0.164,0.087,0.448,0.678
"Neoplasms","Cancer Genet Cytogenet","First authors","Old",NA,81,436,56.422,0.031,-0.096,0.159,0.03,-0.098,0.155,0.621,0.802
"Cardiology","Cardiol Young","First authors","Old",-0.45,81,222,26.126,0.154,0.03,0.284,0.156,0.018,0.298,0.027,0.163
"Pharmacology","Drug Metab Dispos","First authors","Old",0.065,81,296,33.784,0.042,-0.088,0.174,0.043,-0.091,0.171,0.532,0.747
"Anti-Infective Agents","Int J Antimicrob Agents","First authors","Old",0.167,81,319,44.514,0.287,0.165,0.4,0.289,0.169,0.403,0,0
"Medicine","J Med Virol","First authors","Old",-0.004,81,427,48.478,0.021,-0.103,0.146,0.02,-0.102,0.144,0.732,0.863
"Neurology","Neurochem Int","First authors","Old",0.105,81,301,41.528,0.091,-0.047,0.228,0.089,-0.056,0.234,0.208,0.469
"Veterinary Medicine","Vet Parasitol","First authors","Old",0.276,81,254,38.189,0.118,-0.033,0.26,0.121,-0.041,0.275,0.132,0.373
"Biotechnology","Biotechnol Lett","First authors","Old",-0.222,80,205,33.659,0.082,-0.052,0.209,0.074,-0.073,0.206,0.279,0.53
"Neoplasms","Cancer Causes Control","First authors","Old",-0.077,80,334,45.509,0.039,-0.103,0.187,0.044,-0.103,0.192,0.574,0.775
"Nutritional Sciences","Eat Disord","First authors","Old",-0.309,80,172,70.93,0.036,-0.15,0.241,0.039,-0.142,0.224,0.688,0.833
"Speech-Language Pathology","J Speech Lang Hear Res","First authors","Old",0.027,80,168,53.571,0.163,-0.011,0.36,0.163,-0.023,0.354,0.073,0.269
"Pediatrics","Pediatr Endocrinol Rev","First authors","Old",NA,80,198,43.434,0.146,-0.01,0.324,0.146,-0.03,0.309,0.08,0.28
"Pharmacology","Pharm Res","First authors","Old",0.072,80,258,31.008,0.117,-0.015,0.244,0.115,-0.014,0.234,0.077,0.276
"Unclassified","Radiat Res","First authors","Old",0.206,80,302,34.768,0.053,-0.085,0.188,0.052,-0.087,0.188,0.473,0.694
"Orthodontics","Angle Orthod","First authors","Old",-0.049,79,194,27.32,0.119,-0.04,0.307,0.118,-0.044,0.297,0.146,0.392
"General Surgery","Arch Surg","First authors","Old",NA,79,266,21.429,0.045,-0.156,0.267,0.047,-0.143,0.295,0.551,0.758
"Biotechnology","Biosci Biotechnol Biochem","First authors","Old",-0.366,79,222,20.721,0.155,0.015,0.312,0.162,0.016,0.326,0.026,0.16
"Physiology","Comp Biochem Physiol Part A Mol Integr Physiol","First authors","Old",NA,79,152,28.947,-0.018,-0.181,0.139,-0.022,-0.173,0.126,0.843,0.914
"Medicine","Harefuah","First authors","Old",NA,79,204,22.549,0.275,0.083,0.473,0.28,0.107,0.503,0.003,0.042
"Psychopharmacology","J Clin Psychopharmacol","First authors","Old",0.081,79,335,33.433,0.094,-0.055,0.259,0.092,-0.061,0.271,0.145,0.391
"Medicine","J Matern Fetal Neonatal Med","First authors","Old",NA,79,262,37.023,0.053,-0.088,0.196,0.051,-0.089,0.178,0.446,0.676
"Pharmacology","J Pharm Sci","First authors","Old",-0.02,79,226,26.549,-0.006,-0.166,0.138,-0.001,-0.157,0.15,0.934,0.964
"Dentistry","J Prosthet Dent","First authors","Old",NA,79,159,21.384,0.088,-0.084,0.275,0.09,-0.074,0.287,0.275,0.528
"General Surgery","J Shoulder Elbow Surg","First authors","Old",0.196,79,213,10.329,-0.063,-0.17,0.063,-0.057,-0.166,0.071,0.318,0.576
"Cell Biology","Mitochondrion","First authors","Old",0.012,79,221,33.484,-0.033,-0.181,0.119,-0.033,-0.181,0.118,0.677,0.831
"Neoplasms","Mol Cancer Ther","First authors","Old",0.241,79,333,41.141,0.077,-0.045,0.196,0.077,-0.047,0.197,0.248,0.507
"Psychology","Psychon Bull Rev","First authors","Old",NA,79,121,24.793,0.075,-0.106,0.274,0.074,-0.102,0.261,0.413,0.652
"Cell Biology","Stem Cells","First authors","Old",0.221,79,348,35.345,0.02,-0.113,0.133,0.018,-0.11,0.135,0.768,0.885
"Biochemistry","Structure","First authors","Old",0.226,79,255,25.49,0.108,-0.017,0.225,0.112,-0.009,0.236,0.127,0.365
"Medicine","Vojnosanit Pregl","First authors","Old",-0.755,79,249,49.799,0.084,-0.078,0.269,0.079,-0.085,0.248,0.302,0.563
"Radiology","Acad Radiol","First authors","Old",-0.024,78,261,19.157,0.186,0.029,0.339,0.19,0.033,0.351,0.013,0.107
"Cell Biology","Dev Cell","First authors","Old",0.42,78,212,35.849,0.06,-0.113,0.238,0.055,-0.125,0.231,0.517,0.733
"Endocrinology","Endokrynol Pol","First authors","Old",-0.447,78,262,51.908,-0.008,-0.168,0.153,-0.005,-0.168,0.157,0.913,0.953
"Urology","Int Urol Nephrol","First authors","Old",-0.145,78,261,15.709,0.336,0.063,0.616,0.341,0.087,0.61,0.002,0.031
"Cardiology","J Heart  Valve Dis","First authors","Old",NA,78,354,19.492,-0.072,-0.198,0.054,-0.07,-0.188,0.049,0.395,0.64
"Pediatrics","J Paediatr Child Health","First authors","Old",-0.013,78,217,44.24,0.055,-0.1,0.194,0.052,-0.095,0.202,0.521,0.736
"Neurology","Neurobiol Dis","First authors","Old",0.262,78,391,40.409,0.146,0.03,0.257,0.145,0.023,0.263,0.017,0.124
"Neurology","Neurocrit Care","First authors","Old",-0.029,78,216,19.907,0.012,-0.115,0.152,0.022,-0.106,0.182,0.894,0.945
"Urology","Prog Urol","First authors","Old",-0.506,78,283,14.841,0.174,-0.137,0.581,0.217,-0.088,0.653,0.092,0.3
"Sexually Transmitted Diseases","Sex Transm Dis","First authors","Old",0.12,78,313,47.923,0.05,-0.094,0.193,0.051,-0.096,0.194,0.501,0.717
"Behavioral Sciences","Behav Processes","First authors","Old",-0.297,77,146,34.247,-0.049,-0.206,0.112,-0.047,-0.204,0.108,0.569,0.77
"Pharmacology","Chem Pharm Bull","First authors","Old",NA,77,263,35.361,0.034,-0.115,0.186,0.037,-0.128,0.195,0.638,0.815
"Cardiology","Echocardiography","First authors","Old",NA,77,306,14.379,0.015,-0.076,0.114,0.017,-0.075,0.123,0.768,0.885
"Pediatrics","J Pediatr (Rio J)","First authors","Old",NA,77,202,47.03,0.156,-0.008,0.331,0.157,-0.006,0.309,0.071,0.266
"Pathology","Mod Pathol","First authors","Old",0.415,77,364,32.143,0.076,-0.041,0.193,0.074,-0.043,0.196,0.169,0.429
"Microbiology","Mycol Res","First authors","Old",NA,77,204,38.235,0.116,-0.048,0.277,0.117,-0.035,0.296,0.151,0.402
"Biology","Theriogenology","First authors","Old",-0.092,77,253,35.573,0.22,0.068,0.372,0.228,0.083,0.383,0.005,0.06
"Gastroenterology","Turk J Gastroenterol","First authors","Old",-0.725,77,300,24,0.197,0.046,0.353,0.197,0.049,0.368,0.006,0.068
"Geriatrics","Age Ageing","First authors","Old",0.242,76,223,41.704,-0.003,-0.167,0.155,-0.006,-0.175,0.152,0.971,0.985
"Anthropology","Am J Phys Anthropol","First authors","Old",-0.006,76,197,42.64,-0.042,-0.218,0.125,-0.038,-0.216,0.131,0.631,0.811
"General Surgery","Chir Ital","First authors","Old",NA,76,357,19.888,0.25,-0.05,0.507,0.262,-0.022,0.564,0.008,0.082
"Public Health","Eur J Public Health","First authors","Old",0.141,76,196,40.306,-0.014,-0.192,0.163,-0.011,-0.196,0.168,0.895,0.945
"Traumatology","J Orthop Trauma","First authors","Old",0.037,76,220,10.455,-0.052,-0.128,0.051,-0.042,-0.117,0.065,0.565,0.766
"Medicine","MedGenMed","First authors","Old",NA,76,163,30.675,0.037,-0.156,0.26,0.034,-0.158,0.25,0.737,0.865
"Genetics","Mol Genet Metab","First authors","Old",0.009,76,324,45.988,0.002,-0.143,0.14,0,-0.153,0.128,0.979,0.987
"Nutritional Sciences","Nutrition","First authors","Old",0.075,76,283,44.17,-0.018,-0.163,0.141,-0.015,-0.181,0.151,0.817,0.904
"Pulmonary Medicine","Respir Res","First authors","Old",0.167,76,376,36.17,-0.076,-0.199,0.031,-0.073,-0.191,0.051,0.233,0.497
"Vascular Diseases","Thromb Res","First authors","Old",-0.055,76,242,33.471,0.159,-0.029,0.339,0.157,-0.048,0.352,0.068,0.261
"Pathology","Virchows Arch","First authors","Old",0.093,76,337,39.763,0.024,-0.109,0.154,0.026,-0.109,0.164,0.699,0.841
"Medicine","Ann Saudi Med","First authors","Old",-0.812,75,170,30.588,0.096,-0.099,0.292,0.096,-0.098,0.31,0.309,0.568
"Chemistry","Bioresour Technol","First authors","Old",0.12,75,151,26.49,0.165,0.008,0.314,0.166,0.007,0.311,0.038,0.194
"Medicine","Bone","First authors","Old",0.268,75,322,27.64,0.245,0.131,0.363,0.245,0.136,0.354,0,0
"Ophthalmology","Clin Experiment Ophthalmol","First authors","Old",NA,75,190,26.316,-0.109,-0.227,0.008,-0.11,-0.231,0.011,0.207,0.467
"Health Services Research","Health Serv Res","First authors","Old",0.204,75,199,44.724,0.115,-0.049,0.264,0.112,-0.049,0.267,0.157,0.414
"Medicine","J Bone Miner Res","First authors","Old",0.445,75,342,33.918,0.201,0.082,0.324,0.205,0.081,0.329,0.001,0.019
"Medicine","J Vet Intern Med","First authors","Old",-0.044,75,277,43.321,0.008,-0.147,0.152,0.01,-0.143,0.164,0.916,0.953
"Neurology","Lancet Neurol","First authors","Old",0.946,75,204,19.608,-0.021,-0.155,0.136,-0.018,-0.149,0.126,0.8,0.899
"Genetics, Medical","Mol Ther","First authors","Old",0.406,75,323,34.985,0.059,-0.059,0.19,0.061,-0.074,0.192,0.411,0.652
"Genetics","Nat Genet","First authors","Old",1.018,75,275,33.818,0.062,-0.11,0.229,0.064,-0.106,0.23,0.468,0.692
"Neurology","Neural Netw","First authors","Old",0.083,75,141,12.766,-0.077,-0.183,0.036,-0.062,-0.167,0.057,0.464,0.69
"Pediatrics","Pediatr Transplant","First authors","Old",-0.074,75,291,36.082,0.052,-0.097,0.201,0.053,-0.096,0.198,0.459,0.684
"Endocrinology","Thyroid","First authors","Old",0.085,75,286,38.811,0.073,-0.07,0.21,0.072,-0.061,0.202,0.31,0.568
"Ophthalmology","Arq Bras Oftalmol","First authors","Old",-0.607,74,237,34.599,0.081,-0.079,0.229,0.08,-0.078,0.24,0.282,0.532
"Pharmacology","Eur J Clin Pharmacol","First authors","Old",-0.009,74,308,33.117,0.037,-0.098,0.179,0.038,-0.1,0.183,0.533,0.747
"Medicine","Eur J Intern Med","First authors","Old",0.109,74,253,29.249,0.003,-0.131,0.14,0.006,-0.129,0.148,0.978,0.987
"Cardiology","Europace","First authors","Old",0.238,74,336,16.964,0.049,-0.092,0.198,0.049,-0.082,0.19,0.513,0.729
"Neoplasms","Expert Rev Anticancer Ther","First authors","Old",-0.184,74,138,22.464,0.126,-0.049,0.309,0.128,-0.05,0.314,0.144,0.389
"Genetics","Genome Biol","First authors","Old",0.572,74,183,26.776,0.006,-0.152,0.189,0.014,-0.14,0.181,0.95,0.973
"Medicine","J Headache Pain","First authors","Old",0.239,74,294,36.395,0.077,-0.062,0.214,0.074,-0.059,0.23,0.282,0.532
"Medicine","J Med Entomol","First authors","Old",-0.071,74,227,31.718,-0.023,-0.164,0.128,-0.016,-0.161,0.129,0.79,0.893
"Nephrology","J Nephrol","First authors","Old",-0.236,74,264,35.985,-0.035,-0.18,0.122,-0.029,-0.185,0.133,0.669,0.828
"Nephrology","Kidney Int","First authors","Old",0.518,74,305,31.148,-0.015,-0.125,0.09,-0.017,-0.135,0.095,0.839,0.912
"Neoplasms","Lancet Oncol","First authors","Old",0.918,74,248,29.032,0.259,0.012,0.509,0.259,0.033,0.484,0.004,0.051
"Medicine","Med Oral Patol Oral Cir Bucal","First authors","Old",-0.269,74,231,31.169,-0.1,-0.246,0.05,-0.102,-0.256,0.052,0.143,0.389
"Pediatrics","Pediatr Surg Int","First authors","Old",-0.178,74,259,23.552,-0.009,-0.113,0.089,-0.012,-0.11,0.093,0.896,0.945
"Radiology","Radiographics","First authors","Old",0.085,74,264,21.97,0.052,-0.066,0.175,0.051,-0.072,0.181,0.375,0.625
"Medicine","Srp Arh Celok Lek","First authors","Old",-0.862,74,227,50.661,0.027,-0.146,0.203,0.025,-0.145,0.195,0.756,0.88
"Gynecology","Arch Gynecol Obstet","First authors","Old",-0.069,73,248,30.645,0.059,-0.086,0.213,0.06,-0.083,0.214,0.439,0.671
"Biochemistry","Bioconjug Chem","First authors","Old",NA,73,277,22.383,-0.101,-0.228,0.01,-0.098,-0.223,0.02,0.132,0.373
"Public Health","Bull World Health Organ","First authors","Old",0.425,73,193,32.124,0.167,0.015,0.335,0.167,0.005,0.332,0.044,0.214
"Dentistry","Clin Oral Implants Res","First authors","Old",NA,73,281,16.37,-0.046,-0.136,0.044,-0.044,-0.135,0.057,0.447,0.677
"Psychology","J Appl Psychol","First authors","Old",NA,73,139,32.374,0.254,0.053,0.465,0.255,0.066,0.448,0.009,0.087
"Chemistry","J Comput Chem","First authors","Old",-0.01,73,143,16.783,-0.092,-0.199,0.026,-0.084,-0.19,0.02,0.337,0.593
"Chemistry Techniques, Analytical","J Mass Spectrom","First authors","Old",0.074,73,240,27.083,0.261,0.113,0.413,0.258,0.11,0.403,0.001,0.019
"Diagnostic Imaging","Magn Reson Imaging","First authors","Old",-0.032,73,278,24.82,0.086,-0.04,0.214,0.087,-0.03,0.235,0.18,0.435
"Microbiology","Mycologia","First authors","Old",-0.031,73,175,33.714,0.021,-0.135,0.164,0.023,-0.137,0.174,0.792,0.895
"Neurology","Neurobiol Aging","First authors","Old",0.287,73,347,44.092,-0.078,-0.235,0.065,-0.08,-0.217,0.061,0.25,0.509
"Pediatrics","Pediatr Pulmonol","First authors","Old",0.272,73,271,35.424,0.193,0.054,0.346,0.188,0.048,0.345,0.007,0.075
"Psychology","Q J Exp Psychol (Hove)","First authors","Old",NA,73,136,29.412,0.025,-0.163,0.212,0.028,-0.162,0.224,0.763,0.883
"Toxicology","Toxicon","First authors","Old",-0.024,73,280,45,0.214,0.08,0.362,0.212,0.066,0.355,0.002,0.031
"Zoology","Zoology (Jena)","First authors","Old",NA,73,121,26.446,0.003,-0.197,0.225,0.006,-0.191,0.204,0.978,0.987
"Chemistry Techniques, Analytical","Acta Crystallogr D Biol Crystallogr","First authors","Old",NA,72,217,20.737,0.072,-0.096,0.264,0.076,-0.095,0.269,0.331,0.588
"Public Health","Aust N Z J Public Health","First authors","Old",NA,72,217,50.23,0.202,0.015,0.372,0.201,0.035,0.371,0.016,0.122
"Neurosurgery","Childs Nerv Syst","First authors","Old",-0.267,72,228,24.561,0.148,0.003,0.302,0.151,0.028,0.302,0.051,0.228
"Immunology","Immunol Lett","First authors","Old",-0.112,72,238,35.714,0.01,-0.146,0.173,0.008,-0.153,0.172,0.899,0.947
"Gynecology","Int Urogynecol J Pelvic Floor Dysfunct","First authors","Old",0.209,72,243,40.741,0.112,-0.043,0.264,0.11,-0.036,0.253,0.171,0.429
"Virology","J Clin Virol","First authors","Old",0.018,72,269,38.662,0.049,-0.119,0.217,0.054,-0.109,0.22,0.548,0.756
"Urology","J Endourol","First authors","Old",0.067,72,227,9.692,-0.077,-0.116,-0.04,-0.071,-0.109,-0.036,0.456,0.682
"Nanotechnology","Lab Chip","First authors","Old",0.133,72,200,14,-0.004,-0.123,0.168,0,-0.125,0.166,0.953,0.973
"Immunology","Mol Immunol","First authors","Old",0.021,72,249,32.53,-0.149,-0.274,-0.016,-0.15,-0.285,-0.018,0.038,0.194
"Virology","Virus Res","First authors","Old",-0.002,72,211,39.336,0.077,-0.082,0.227,0.079,-0.076,0.235,0.37,0.622
"Neurology","AJNR Am J Neuroradiol","First authors","Old",NA,71,259,16.602,0.065,-0.045,0.189,0.066,-0.053,0.178,0.282,0.532
"Biochemistry","Biopolymers","First authors","Old",-0.141,71,198,28.283,0.179,0.024,0.327,0.177,0.038,0.326,0.023,0.151
"Brain","Cerebrovasc Dis","First authors","Old",0.058,71,243,24.691,0.087,-0.053,0.233,0.093,-0.05,0.239,0.224,0.488
"Toxicology","Chem Res Toxicol","First authors","Old",0.093,71,212,23.585,0.109,-0.011,0.229,0.112,-0.016,0.239,0.134,0.374
"Pediatrics","Clin Pediatr (Phila)","First authors","Old",NA,71,167,41.317,0.166,0.012,0.325,0.166,0.008,0.33,0.051,0.228
"Medicine","Ethn Dis","First authors","Old",-0.299,71,230,51.739,0.183,-0.005,0.364,0.175,-0.003,0.357,0.048,0.223
"Hematology","Exp Hematol","First authors","Old",-0.053,71,332,43.675,0.117,-0.006,0.237,0.119,-0.006,0.237,0.095,0.305
"Neurology","Expert Rev Neurother","First authors","Old",-0.013,71,121,35.537,0.143,-0.059,0.338,0.14,-0.056,0.335,0.185,0.444
"Gastroenterology","Gastroenterol Clin Biol","First authors","Old",NA,71,266,27.068,-0.047,-0.202,0.132,-0.042,-0.205,0.151,0.535,0.748
"Medicine","Health Policy","First authors","Old",0.004,71,177,31.638,0.113,-0.068,0.29,0.116,-0.044,0.304,0.171,0.429
"Dermatology","J Drugs Dermatol","First authors","Old",-0.117,71,142,36.62,0.131,-0.049,0.308,0.125,-0.061,0.309,0.17,0.429
"Unclassified","ASAIO J","First authors","Old",NA,70,262,15.267,-0.057,-0.155,0.058,-0.059,-0.157,0.041,0.326,0.583
"General Surgery","Ann Surg Oncol","First authors","Old",0.376,70,338,29.882,-0.105,-0.219,0.018,-0.107,-0.228,0.008,0.119,0.35
"Obstetrics","Aust N Z J Obstet Gynaecol","First authors","Old",-0.109,70,180,43.333,0.227,0.056,0.39,0.233,0.065,0.409,0.017,0.124
"Medicine","Biomed Pap Med Fac Univ Palacky Olomouc Czech Repub","First authors","Old",-0.339,70,251,46.614,0.316,0.168,0.464,0.317,0.177,0.452,0,0
"Medicine","Br J Hosp Med (Lond)","First authors","Old",-0.831,70,97,30.928,0.118,-0.124,0.372,0.121,-0.103,0.374,0.308,0.568
"Neoplasms","Clin Transl Oncol","First authors","Old",-0.188,70,311,37.299,0.003,-0.153,0.155,0.002,-0.144,0.148,0.967,0.982
"Endocrinology","Gen Comp Endocrinol","First authors","Old",-0.067,70,173,35.838,0.027,-0.13,0.195,0.03,-0.145,0.211,0.771,0.885
"Medicine","J Biomed Mater Res Part B Appl Biomater","First authors","Old",NA,70,254,25.591,-0.107,-0.229,0.028,-0.102,-0.238,0.036,0.122,0.356
"Pharmacology","J Ethnopharmacol","First authors","Old",0.043,70,256,46.094,0.166,0.017,0.316,0.169,0.024,0.313,0.026,0.16
"Medicine","Medicina (B Aires)","First authors","Old",NA,70,283,51.237,0.203,0.029,0.363,0.206,0.035,0.384,0.008,0.082
"Neoplasms","Oncologist","First authors","Old",0.175,70,210,30.952,-0.015,-0.15,0.148,-0.008,-0.172,0.154,0.869,0.929
"Ophthalmology","Optom Vis Sci","First authors","Old",-0.142,70,159,35.849,0.14,-0.056,0.326,0.138,-0.054,0.331,0.131,0.372
"Biotechnology","Biosens Bioelectron","First authors","Old",0.437,69,186,30.645,0.213,0.078,0.34,0.215,0.078,0.341,0.01,0.09
"Genetics","Genome Res","First authors","Old",0.573,69,205,24.39,0.042,-0.09,0.186,0.04,-0.087,0.181,0.598,0.789
"Physiology","J Manipulative Physiol Ther","First authors","Old",NA,69,153,22.876,0.041,-0.136,0.256,0.043,-0.133,0.228,0.661,0.824
"Microbiology","Microb Ecol","First authors","Old",0.058,69,204,29.412,-0.006,-0.162,0.153,-0.008,-0.156,0.144,0.955,0.974
"Endocrinology","Mol Endocrinol","First authors","Old",0.042,69,273,42.491,0.05,-0.092,0.194,0.049,-0.097,0.18,0.553,0.759
"Cell Biology","Nat Cell Biol","First authors","Old",0.722,69,205,33.171,0.077,-0.101,0.245,0.076,-0.105,0.249,0.38,0.628
"Pharmacology","Pharmacol Rep","First authors","Old",-0.089,69,201,46.766,0.342,0.204,0.478,0.348,0.188,0.488,0,0
"Psychiatry","Prog Neuropsychopharmacol Biol Psychiatry","First authors","Old",0.193,69,197,40.609,0.095,-0.071,0.281,0.093,-0.08,0.282,0.256,0.514
"Neoplasms","Semin Oncol","First authors","Old",0.092,69,130,31.538,-0.176,-0.357,0.016,-0.175,-0.345,0.018,0.107,0.329
"Toxicology","Toxicol Lett","First authors","Old",0.159,69,266,41.729,0.149,-0.002,0.301,0.154,0.005,0.311,0.033,0.183
"Physiology","Tree Physiol","First authors","Old",0.158,69,191,19.372,0.032,-0.083,0.153,0.033,-0.081,0.155,0.682,0.832
"Biochemistry","Acta Biochim Pol","First authors","Old",-0.418,68,205,42.927,0.041,-0.119,0.198,0.04,-0.117,0.199,0.611,0.798
"Unclassified","Appl Spectrosc","First authors","Old",-0.019,68,160,23.75,0.174,-0.016,0.387,0.177,-0.009,0.374,0.044,0.214
"Psychology","Behav Res Ther","First authors","Old",NA,68,186,39.247,0.115,-0.04,0.277,0.113,-0.048,0.277,0.186,0.445
"Pharmacology","Br J Clin Pharmacol","First authors","Old",0.142,68,248,27.823,0.082,-0.054,0.234,0.082,-0.066,0.217,0.261,0.52
"Microbiology","Cell Microbiol","First authors","Old",0.197,68,257,37.743,0.102,-0.047,0.253,0.104,-0.046,0.257,0.176,0.434
"Neurology","Cortex","First authors","Old",0.21,68,135,36.296,-0.141,-0.316,0.056,-0.146,-0.324,0.033,0.165,0.423
